"filename", "language", "Python", "Docker", "YAML", "Properties", "JSON", "Ignore", "Markdown", "PostCSS", "JavaScript", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\remne\Documents\FirstFullStak\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\remne\Documents\FirstFullStak\backend\Dockerfile", "Docker", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 2
"c:\Users\remne\Documents\FirstFullStak\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\remne\Documents\FirstFullStak\backend\app\auth.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\remne\Documents\FirstFullStak\backend\app\crud.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 33, 184
"c:\Users\remne\Documents\FirstFullStak\backend\app\database.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\remne\Documents\FirstFullStak\backend\app\main.py", "Python", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42, 322
"c:\Users\remne\Documents\FirstFullStak\backend\app\models.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\remne\Documents\FirstFullStak\backend\app\schemas.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\remne\Documents\FirstFullStak\docker-compose.yaml", "YAML", 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -62
"c:\Users\remne\Documents\FirstFullStak\frontend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, -15
"c:\Users\remne\Documents\FirstFullStak\frontend\Dockerfile", "Docker", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"c:\Users\remne\Documents\FirstFullStak\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, 0, 0, -33, -71
"c:\Users\remne\Documents\FirstFullStak\frontend\package-lock.json", "JSON", 0, 0, 0, 0, -17459, 0, 0, 0, 0, 0, 0, 0, -1, -17460
"c:\Users\remne\Documents\FirstFullStak\frontend\package.json", "JSON", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, -1, -41
"c:\Users\remne\Documents\FirstFullStak\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, -24, -1, -44
"c:\Users\remne\Documents\FirstFullStak\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\remne\Documents\FirstFullStak\frontend\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, -12, -59
"c:\Users\remne\Documents\FirstFullStak\frontend\src\components\UI\FileInput\FileInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, -6, -36
"c:\Users\remne\Documents\FirstFullStak\frontend\src\components\UI\FileInput\FileInput.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\remne\Documents\FirstFullStak\frontend\src\components\UI\User\User.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -5, -19
"c:\Users\remne\Documents\FirstFullStak\frontend\src\components\UI\User\User.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -4, -11
"c:\Users\remne\Documents\FirstFullStak\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -2, -10
"c:\Users\remne\Documents\FirstFullStak\nginx\nginx.conf", "Properties", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -5, -18
"Total", "-", 500, -5, -55, -13, -17499, -15, -39, -7, -55, -19, -44, 19, 18, -17214
